model,accuracy,precision,recall,f1,roc_auc
SVM,0.5506072874493927,0.5506072874493927,1.0,0.7101827676240209,0.4886062533121357
DecisionTree,0.5546558704453441,0.5550847457627118,0.9632352941176471,0.7043010752688172,0.49556173820879706
XGBoost,0.5546558704453441,0.5550847457627118,0.9632352941176471,0.7043010752688172,0.521595124536301
LogisticRegression,0.562753036437247,0.5619469026548672,0.9338235294117647,0.7016574585635359,0.4873476417594064
RandomForest,0.582995951417004,0.6050955414012739,0.6985294117647058,0.6484641638225256,0.5739931107578166
LightGBM,0.5708502024291497,0.59375,0.6985294117647058,0.6418918918918919,0.5635267620561739
MLP,0.5384615384615384,0.5654761904761905,0.6985294117647058,0.625,0.5344462109167992
KNN,0.5344129554655871,0.5789473684210527,0.5661764705882353,0.5724907063197026,0.5354398516163222
